p2,score
AEBP2,21.956956956956954
AEN,20.95395395395395
AES,18.947947947947945
AFAP1,10.376376376376374
AFAP1L1,4.255255255255254
AFAP1L2,7.677677677677677
AFF1,14.071071071071069
AFF2,14.204204204204203
AFF3,13.954954954954953
AFF4,21.520520520520517
AFG3L2,53.83783783783783
AFM,19.529529529529526
AFMID,19.199199199199196
AFP,60.083083083083075
AFTPH,9.789789789789788
AGA,16.256256256256254
AGAP1,22.489489489489486
AGAP10,16.198198198198195
AGAP2,27.61761761761761
AGAP3,19.028028028028025
AGAP4,15.62362362362362
AGAP5,15.41141141141141
AGAP6,11.104104104104103
AGBL1,10.244244244244243
AGBL2,11.513513513513512
AGBL3,14.317317317317315
AGBL4,11.040040040040038
AGBL5,9.781781781781781
AGER,24.7017017017017
AGFG1,38.09409409409409
AGFG2,16.278278278278275
AGGF1,19.835835835835834
AGK,27.086086086086084
AGL,30.601601601601597
AGMAT,17.580580580580577
AGMO,18.604604604604603
AGO1,73.52352352352352
AGO2,91.62662662662662
AGO3,57.39939939939939
AGO4,57.19919919919919
AGPAT1,30.596596596596594
AGPAT2,33.77877877877877
AGPAT3,29.736736736736734
AGPAT4,25.01501501501501
AGPAT5,30.999999999999996
AGPAT6,25.932932932932932
AGPAT9,24.198198198198195
AGPS,23.309309309309306
AGR2,31.11211211211211
AGR3,9.994994994994993
AGRN,55.23223223223223
AGRP,16.205205205205203
AGT,45.12412412412412
AGTPBP1,15.639639639639638
AGTR1,31.81481481481481
AGTR2,17.151151151151147
AGTRAP,13.459459459459458
AGXT,48.89889889889889
AGXT2,25.898898898898896
AHCTF1,21.957957957957955
AHCY,59.86786786786786
AHCYL1,33.95395395395395
AHCYL2,29.31331331331331
AHDC1,4.468468468468468
AHI1,40.67967967967967
AHNAK,25.401401401401397
AHNAK2,10.147147147147146
AHR,38.51251251251251
AHRR,10.699699699699698
AHSA1,34.78478478478478
AHSA2,18.387387387387385
AHSG,46.75875875875875
AHSP,9.794794794794793
AICDA,37.448448448448445
AIDA,2.8418418418418416
AIF1,50.6126126126126
AIF1L,28.002002002001998
AIFM1,46.44344344344344
AIFM2,24.19319319319319
AIFM3,30.8028028028028
AIG1,7.726726726726725
AIM1,6.571571571571571
AIM1L,5.857857857857858
AIM2,23.878878878878876
AIMP1,49.15015015015015
AIMP2,28.454454454454453
AIP,11.205205205205203
AIPL1,15.957957957957957
AIRE,42.14014014014013
AJAP1,12.914914914914913
AJUBA,22.987987987987985
AK1,37.03403403403403
AK2,37.41141141141141
AK3,35.829829829829826
AK4,33.069069069069066
AK5,33.164164164164156
AK6,39.67167167167167
AK7,22.299299299299296
AK8,29.17517517517517
AK9,28.927927927927925
AKAP1,21.34234234234234
AKAP10,11.803803803803802
AKAP11,13.519519519519518
AKAP12,17.088088088088085
AKAP13,36.54454454454454
AKAP14,12.448448448448447
AKAP17A,15.516516516516514
AKAP2,10.094094094094093
AKAP3,17.55055055055055
AKAP4,18.396396396396394
AKAP5,21.313313313313312
AKAP6,24.346346346346344
AKAP7,18.03203203203203
AKAP8,20.293293293293292
AKAP8L,11.938938938938938
AKAP9,39.30030030030029
AKIP1,4.168168168168167
AKIRIN1,11.679679679679678
AKIRIN2,11.758758758758757
AKNA,9.710710710710709
AKNAD1,2.8808808808808806
AKR1A1,30.44344344344344
AKR1B1,44.87587587587587
AKR1B10,32.93093093093093
AKR1B15,19.041041041041037
AKR1C1,21.594594594594593
AKR1C2,21.443443443443442
AKR1C3,27.839839839839836
AKR1C4,17.4024024024024
AKR1D1,26.988988988988986
AKR1E2,13.568568568568567
AKR7A2,18.93193193193193
AKR7A3,11.981981981981981
AKT1,248.90790790790788
AKT1S1,20.899899899899896
AKT2,70.23223223223222
AKT3,61.35135135135135
AKTIP,21.979979979979976
ALAD,29.137137137137135
ALAS1,30.84584584584584
ALAS2,30.411411411411407
ALB,203.37837837837836
ALCAM,24.386386386386384
ALDH16A1,18.993993993993993
ALDH18A1,91.55255255255254
ALDH1A1,46.95095095095095
ALDH1A2,38.45845845845845
ALDH1A3,33.381381381381374
ALDH1B1,28.12412412412412
ALDH1L1,26.257257257257255
ALDH1L2,20.439439439439436
ALDH2,41.83683683683683
ALDH3A1,30.977977977977975
ALDH3A2,41.81781781781781
ALDH3B1,28.84484484484484
ALDH3B2,26.889889889889886
ALDH4A1,31.06606606606606
ALDH5A1,30.49449449449449
ALDH6A1,30.639639639639636
ALDH7A1,47.968968968968966
ALDH8A1,29.02302302302302
ALDH9A1,38.34534534534534
ALDOA,57.45245245245244
ALDOB,48.022022022022014
ALDOC,46.09709709709709
ALG1,23.212212212212208
ALG10,12.259259259259258
ALG10B,12.890890890890889
ALG11,29.35335335335335
ALG12,16.35935935935936
ALG13,36.30030030030029
ALG14,11.590590590590589
ALG1L,14.399399399399396
ALG1L2,15.764764764764761
ALG2,24.38538538538538
ALG3,19.398398398398395
ALG5,29.3033033033033
ALG6,15.613613613613612
ALG8,13.916916916916914
ALG9,25.780780780780777
ALK,57.328328328328325
ALKBH1,22.636636636636634
ALKBH2,9.437437437437437
ALKBH3,14.824824824824823
ALKBH4,8.705705705705704
ALKBH5,16.884884884884883
ALKBH6,2.2422422422422414
ALKBH7,10.207207207207206
ALKBH8,39.89989989989989
ALLC,13.159159159159158
ALMS1,25.305305305305303
ALOX12,14.83183183183183
